event,key,timestamp,label
keydown,Key.shift,1753192882.9312341,human
keydown,I,1753192889.2312016,human
keyup,Key.shift,1753192889.3660803,human
keyup,i,1753192889.378961,human
keydown,n,1753192889.439039,human
keydown,i,1753192889.54503,human
keyup,n,1753192889.604363,human
keydown,z,1753192889.67717,human
keyup,i,1753192889.6862512,human
keydown,i,1753192889.7591314,human
keyup,z,1753192889.8120825,human
keyup,i,1753192889.864687,human
keydown,a,1753192889.8809204,human
keydown,l,1753192889.9617648,human
keyup,a,1753192890.0304449,human
keydown,m,1753192890.0761998,human
keyup,l,1753192890.1129115,human
keydown,e,1753192890.1674318,human
keyup,m,1753192890.191492,human
keydown,n,1753192890.2635784,human
keyup,e,1753192890.2872958,human
keydown,t,1753192890.3778756,human
keyup,n,1753192890.3869717,human
keydown,e,1753192890.4280481,human
keydown,Key.space,1753192890.5103629,human
keyup,t,1753192890.5137222,human
keyup,e,1753192890.597581,human
keydown,p,1753192890.6747015,human
keyup,Key.space,1753192890.6837516,human
keydown,r,1753192890.8623765,human
keyup,p,1753192890.8814044,human
keydown,o,1753192890.944634,human
keyup,r,1753192890.9767704,human
keydown,p,1753192891.0452533,human
keyup,o,1753192891.1050775,human
keydown,o,1753192891.169703,human
keyup,p,1753192891.2290165,human
keydown,s,1753192891.311044,human
keyup,o,1753192891.320537,human
keyup,s,1753192891.3974164,human
keydown,t,1753192891.4384825,human
keydown,a,1753192891.5070286,human
keyup,t,1753192891.5553315,human
keydown,Key.space,1753192891.589431,human
keyup,a,1753192891.6233733,human
keydown,d,1753192891.708312,human
keyup,Key.space,1753192891.7343092,human
keydown,l,1753192891.8363788,human
keyup,d,1753192891.8422635,human
keyup,l,1753192891.9324849,human
keydown,a,1753192891.9878714,human
keydown,l,1753192891.996946,human
keyup,l,1753192892.0938056,human
keyup,a,1753192892.1157844,human
keydown,Key.backspace,1753192892.8770125,human
keyup,Key.backspace,1753192892.9420755,human
keydown,Key.backspace,1753192893.0071056,human
keyup,Key.backspace,1753192893.1042173,human
keydown,Key.backspace,1753192893.1537652,human
keyup,Key.backspace,1753192893.2628546,human
keydown,a,1753192893.2763054,human
keydown,l,1753192893.358789,human
keyup,a,1753192893.3783,human
keyup,l,1753192893.450819,human
keydown,l,1753192893.5000055,human
keyup,l,1753192893.6105444,human
keydown,a,1753192893.6350322,human
keyup,a,1753192893.7953172,human
keydown,Key.space,1753192893.8530316,human
keyup,Key.space,1753192893.985919,human
keydown,s,1753192894.0181718,human
keydown,i,1753192894.1050544,human
keyup,s,1753192894.1649983,human
keyup,i,1753192894.2524986,human
keydown,g,1753192894.280277,human
