event_code,key_code,timestamp,label
1,20,1753192467.9018302,human
1,22,1753192468.0154505,human
0,20,1753192468.075884,human
1,32,1753192468.1659136,human
0,42,1753192468.1671574,human
1,21,1753192468.2712383,human
0,32,1753192468.3310685,human
0,21,1753192468.4283726,human
1,36,1753192468.501627,human
0,36,1753192468.6270008,human
1,18,1753192468.7688131,human
1,37,1753192468.8280406,human
0,18,1753192468.8550005,human
1,36,1753192468.8871646,human
0,37,1753192468.9560847,human
0,36,1753192469.006106,human
1,49,1753192469.0680115,human
0,49,1753192469.210811,human
1,50,1753192469.2565796,human
1,32,1753192469.3114195,human
0,50,1753192469.3625362,human
1,21,1753192469.4075394,human
0,32,1753192469.4486067,human
1,35,1753192469.507157,human
0,21,1753192469.5364518,human
1,36,1753192469.5711715,human
1,42,1753192469.6400533,human
0,35,1753192469.644995,human
0,36,1753192469.690049,human
0,42,1753192469.7367258,human
1,42,1753192469.775609,human
1,32,1753192469.8484583,human
0,42,1753192469.9078546,human
1,21,1753192469.944028,human
0,32,1753192469.971951,human
1,43,1753192470.021217,human
0,21,1753192470.100263,human
1,32,1753192470.1399589,human
0,43,1753192470.1693366,human
1,43,1753192470.2283185,human
0,32,1753192470.272509,human
0,43,1753192470.3280609,human
1,43,1753192470.3591175,human
1,32,1753192470.427854,human
1,21,1753192470.482711,human
0,43,1753192470.485783,human
0,32,1753192470.5555713,human
0,21,1753192470.6151066,human
1,39,1753192470.644003,human
0,39,1753192470.7758322,human
1,32,1753192470.7877257,human
1,21,1753192470.87095,human
0,32,1753192470.916206,human
1,45,1753192471.016166,human
0,21,1753192471.035036,human
1,48,1753192471.1440167,human
0,45,1753192471.181548,human
1,40,1753192471.2365627,human
0,48,1753192471.26776,human
0,40,1753192471.3772202,human
1,38,1753192471.4245975,human
0,38,1753192471.5749671,human
1,40,1753192471.5881226,human
0,40,1753192471.7416546,human
1,44,1753192471.7918124,human
1,40,1753192471.9104002,human
0,44,1753192471.9620886,human
1,21,1753192472.0428054,human
0,40,1753192472.0809052,human
0,21,1753192472.1670256,human
1,32,1753192472.2322907,human
1,44,1753192472.3104856,human
0,32,1753192472.3849874,human
0,44,1753192472.4476285,human
1,50,1753192472.4654744,human
1,40,1753192472.5380192,human
0,50,1753192472.5412333,human
1,34,1753192472.6664546,human
0,40,1753192472.675393,human
1,39,1753192472.7533927,human
0,34,1753192472.78533,human
1,40,1753192472.8444662,human
0,39,1753192472.8992958,human
1,49,1753192472.937793,human
0,40,1753192472.9912972,human
0,49,1753192473.022173,human
1,49,1753192473.0960217,human
1,40,1753192473.1652205,human
0,49,1753192473.2049136,human
0,40,1753192473.2780464,human
1,43,1753192473.2913153,human
1,36,1753192473.4026256,human
0,43,1753192473.4057372,human
0,36,1753192473.505935,human
1,1,1753192473.5331826,human
1,21,1753192473.6339674,human
0,1,1753192473.689927,human
1,46,1753192473.7200315,human
0,21,1753192473.771852,human
0,46,1753192473.9079962,human
1,45,1753192473.9162917,human
0,45,1753192474.046046,human
1,40,1753192474.0987952,human
0,40,1753192474.208153,human
1,34,1753192474.2375593,human
1,39,1753192474.2971363,human
0,34,1753192474.3477786,human
0,39,1753192474.4025702,human
1,20,1753192474.456351,human
1,55,1753192474.5473597,human
0,20,1753192474.677634,human
1,21,1753192474.70298,human
0,57,1753192474.7037742,human
0,21,1753192474.830803,human
1,38,1753192474.836354,human
1,40,1753192474.8900316,human
0,38,1753192474.9555745,human
0,40,1753192474.9859602,human
1,56,1753192475.1673565,human
0,56,1753192475.3020566,human
1,21,1753192475.3906367,human
0,21,1753192475.5184543,human
1,38,1753192475.5386534,human
1,42,1753192475.6240222,human
0,38,1753192475.6426425,human
1,40,1753192475.6878786,human
1,21,1753192475.7863655,human
0,42,1753192475.7897103,human
0,40,1753192475.7978234,human
1,32,1753192475.8201375,human
0,21,1753192475.8618567,human
1,44,1753192475.9253995,human
0,32,1753192475.9483426,human
1,50,1753192476.0488846,human
0,44,1753192476.086093,human
1,40,1753192476.153526,human
0,50,1753192476.1557117,human
1,34,1753192476.2721126,human
0,40,1753192476.2768316,human
1,40,1753192476.340862,human
0,34,1753192476.3733222,human
1,21,1753192476.4140327,human
0,40,1753192476.4788244,human
1,20,1753192476.5476196,human
0,21,1753192476.558334,human
1,15,1753192476.683333,human
0,20,1753192476.7300768,human
0,38,1753192476.7760448,human
1,48,1753192476.848928,human
1,36,1753192476.9079592,human
0,48,1753192476.9636495,human
0,36,1753192477.051923,human
1,34,1753192477.0697613,human
1,40,1753192477.1809187,human
0,34,1753192477.2113287,human
1,21,1753192477.2797556,human
0,40,1753192477.339739,human
0,21,1753192477.4315596,human
1,35,1753192477.4583092,human
1,36,1753192477.5717378,human
0,35,1753192477.6316547,human
1,35,1753192477.7047005,human
0,36,1753192477.750388,human
1,40,1753192477.7908754,human
0,35,1753192477.8342962,human
1,34,1753192477.8927205,human
0,40,1753192477.942618,human
1,32,1753192477.964475,human
0,34,1753192478.0122235,human
0,32,1753192478.0941284,human
1,52,1753192478.0964804,human
1,32,1753192478.1799347,human
0,52,1753192478.2394462,human
1,44,1753192478.2841828,human
0,32,1753192478.3215692,human
1,45,1753192478.403048,human
0,44,1753192478.4677722,human
1,21,1753192478.4760935,human
0,45,1753192478.5498824,human
1,32,1753192478.55757,human
0,21,1753192478.6189437,human
1,42,1753192478.6645236,human
0,32,1753192478.674936,human
0,42,1753192478.7503138,human
1,42,1753192478.7973435,human
1,36,1753192478.8199077,human
0,42,1753192478.8934486,human
1,21,1753192478.9213176,human
0,36,1753192478.935283,human
1,42,1753192479.0029309,human
0,21,1753192479.0809946,human
0,42,1753192479.0901358,human
1,45,1753192479.1550255,human
1,48,1753192479.205308,human
0,45,1753192479.242427,human
0,48,1753192479.3019204,human
1,45,1753192479.3072302,human
1,21,1753192479.3569422,human
1,38,1753192479.416319,human
0,45,1753192479.4300537,human
1,36,1753192479.4855156,human
0,21,1753192479.499023,human
0,38,1753192479.5163634,human
