event_code,key_code,timestamp,label
1,1,1753192683.2801678,bot
0,1,1753192683.401888,bot
1,6,1753192683.4446442,bot
0,6,1753192683.4458015,bot
1,5,1753192683.6495297,bot
0,5,1753192683.6505277,bot
1,7,1753192683.8530617,bot
0,7,1753192683.8532038,bot
1,7,1753192684.0555012,bot
0,7,1753192684.0556471,bot
1,8,1753192684.2579982,bot
0,8,1753192684.2581494,bot
1,2,1753192684.4604294,bot
0,2,1753192684.4605365,bot
1,10,1753192684.6628647,bot
0,10,1753192684.6629755,bot
1,8,1753192684.865307,bot
0,8,1753192684.865453,bot
1,0,1753192685.004412,bot
1,3,1753192685.0432618,bot
1,9,1753192685.0687454,bot
0,9,1753192685.0692794,bot
0,3,1753192685.182864,bot
1,7,1753192685.2734375,bot
0,7,1753192685.273764,bot
1,4,1753192685.477773,bot
0,4,1753192685.4787018,bot
1,2,1753192685.6806235,bot
0,2,1753192685.681195,bot
1,6,1753192685.8825936,bot
0,6,1753192685.8827362,bot
0,0,1753192686.0149524,bot
1,5,1753192686.0871491,bot
0,5,1753192686.0880127,bot
1,7,1753192686.2897916,bot
0,7,1753192686.2899225,bot
1,7,1753192686.4929025,bot
0,7,1753192686.4934886,bot
1,8,1753192686.695779,bot
0,8,1753192686.696103,bot
1,2,1753192686.898824,bot
0,2,1753192686.898926,bot
1,10,1753192687.1009831,bot
0,10,1753192687.1011608,bot
1,8,1753192687.3032038,bot
0,8,1753192687.3037384,bot
1,9,1753192687.5061505,bot
0,9,1753192687.5067282,bot
1,7,1753192687.70899,bot
0,7,1753192687.7094302,bot
1,4,1753192687.912087,bot
0,4,1753192687.9122949,bot
1,2,1753192688.1144488,bot
0,2,1753192688.1146293,bot
1,6,1753192688.3175647,bot
0,6,1753192688.317685,bot
1,5,1753192688.5198925,bot
0,5,1753192688.5200253,bot
1,7,1753192688.722323,bot
0,7,1753192688.7225044,bot
1,7,1753192688.9246423,bot
0,7,1753192688.924801,bot
1,8,1753192689.1267943,bot
0,8,1753192689.126976,bot
1,2,1753192689.3287082,bot
0,2,1753192689.328887,bot
1,10,1753192689.531023,bot
0,10,1753192689.5311272,bot
1,8,1753192689.7331643,bot
0,8,1753192689.733282,bot
1,9,1753192689.9349208,bot
0,9,1753192689.9350464,bot
1,7,1753192690.1375165,bot
0,7,1753192690.1377292,bot
1,4,1753192690.3392189,bot
0,4,1753192690.3393388,bot
1,2,1753192690.5431552,bot
0,2,1753192690.5432706,bot
1,6,1753192690.7451713,bot
0,6,1753192690.745416,bot
1,5,1753192690.9470975,bot
0,5,1753192690.9471917,bot
1,7,1753192691.1485977,bot
0,7,1753192691.148963,bot
1,7,1753192691.3509345,bot
0,7,1753192691.3511064,bot
1,8,1753192691.5530374,bot
0,8,1753192691.5532134,bot
1,2,1753192691.7548494,bot
0,2,1753192691.7552867,bot
1,10,1753192691.9571433,bot
0,10,1753192691.9572997,bot
1,8,1753192692.1591728,bot
0,8,1753192692.159747,bot
1,9,1753192692.3625755,bot
0,9,1753192692.3627129,bot
1,7,1753192692.5643284,bot
0,7,1753192692.5644488,bot
1,4,1753192692.766839,bot
0,4,1753192692.7670138,bot
1,2,1753192692.9687338,bot
0,2,1753192692.9689054,bot
1,6,1753192693.1709414,bot
0,6,1753192693.1710382,bot
1,5,1753192693.375217,bot
0,5,1753192693.3753536,bot
1,7,1753192693.5801454,bot
0,7,1753192693.5802455,bot
1,7,1753192693.7819843,bot
0,7,1753192693.7821107,bot
1,8,1753192693.983851,bot
0,8,1753192693.9840505,bot
1,2,1753192694.186335,bot
0,2,1753192694.188306,bot
1,10,1753192694.3908298,bot
0,10,1753192694.391002,bot
1,8,1753192694.593378,bot
0,8,1753192694.5935595,bot
1,9,1753192694.8016012,bot
0,9,1753192694.8017874,bot
1,7,1753192695.0032814,bot
0,7,1753192695.0033898,bot
1,4,1753192695.2050922,bot
0,4,1753192695.2052195,bot
1,2,1753192695.4068449,bot
0,2,1753192695.4070988,bot
1,6,1753192695.609165,bot
0,6,1753192695.6092982,bot
1,5,1753192695.8118863,bot
0,5,1753192695.8120582,bot
1,7,1753192696.0141027,bot
0,7,1753192696.0142784,bot
1,7,1753192696.2161934,bot
0,7,1753192696.2163637,bot
1,8,1753192696.4183953,bot
0,8,1753192696.4185402,bot
1,2,1753192696.620307,bot
0,2,1753192696.6204035,bot
1,10,1753192696.8223312,bot
0,10,1753192696.822426,bot
1,8,1753192697.0248466,bot
0,8,1753192697.0250037,bot
1,9,1753192697.2274623,bot
0,9,1753192697.227822,bot
1,7,1753192697.430052,bot
0,7,1753192697.4302292,bot
1,4,1753192697.632909,bot
0,4,1753192697.6330175,bot
1,2,1753192697.834528,bot
0,2,1753192697.8346317,bot
1,6,1753192698.0372226,bot
0,6,1753192698.0373163,bot
1,5,1753192698.239762,bot
0,5,1753192698.2402773,bot
1,7,1753192698.4427698,bot
0,7,1753192698.4431422,bot
1,7,1753192698.6452131,bot
0,7,1753192698.645408,bot
1,8,1753192698.8477302,bot
0,8,1753192698.8479176,bot
1,2,1753192699.0503209,bot
0,2,1753192699.0508304,bot
1,10,1753192699.2532957,bot
0,10,1753192699.2537625,bot
1,8,1753192699.4560492,bot
0,8,1753192699.4565456,bot
1,9,1753192699.6590607,bot
0,9,1753192699.6595063,bot
1,7,1753192699.862014,bot
0,7,1753192699.862423,bot
1,4,1753192700.064751,bot
0,4,1753192700.0649228,bot
1,2,1753192700.2674303,bot
0,2,1753192700.2675908,bot
1,6,1753192700.4701414,bot
0,6,1753192700.4702604,bot
1,5,1753192700.672738,bot
0,5,1753192700.6728945,bot
