event_code,key_code,timestamp,label
1,10,1753188047.2810647,human
1,16,1753188047.4063416,human
0,10,1753188047.424696,human
1,8,1753188047.5436275,human
0,16,1753188047.5480783,human
1,22,1753188047.6532087,human
0,8,1753188047.7056882,human
1,7,1753188047.707749,human
0,22,1753188047.7909355,human
1,26,1753188047.826741,human
0,7,1753188047.8559566,human
1,22,1753188047.9505706,human
0,26,1753188047.9595675,human
1,21,1753188048.0145185,human
0,22,1753188048.0695395,human
1,22,1753188048.1245704,human
0,21,1753188048.1632357,human
1,7,1753188048.2215972,human
0,22,1753188048.285423,human
1,11,1753188048.3409948,human
0,7,1753188048.371488,human
0,11,1753188048.4791417,human
1,21,1753188048.5132916,human
1,16,1753188048.576159,human
0,21,1753188048.6493256,human
0,16,1753188048.6783383,human
1,3,1753188048.895998,human
0,3,1753188048.986982,human
1,3,1753188049.0459824,human
1,8,1753188049.1554554,human
0,3,1753188049.169309,human
0,8,1753188049.279636,human
1,21,1753188049.28393,human
1,16,1753188049.352736,human
0,21,1753188049.416432,human
1,12,1753188049.4908605,human
0,16,1753188049.5012753,human
0,12,1753188049.6002698,human
1,19,1753188049.6097443,human
1,12,1753188049.7229505,human
0,19,1753188049.7550118,human
0,12,1753188049.8295538,human
1,7,1753188049.832199,human
0,7,1753188049.9517293,human
1,12,1753188049.9610448,human
0,12,1753188050.0523603,human
1,7,1753188050.0617344,human
1,26,1753188050.2047813,human
0,7,1753188050.2179897,human
0,26,1753188050.33402,human
1,27,1753188050.4042714,human
1,22,1753188050.4678926,human
0,27,1753188050.5277965,human
1,7,1753188050.555873,human
0,22,1753188050.624729,human
1,13,1753188050.6514735,human
0,7,1753188050.7209406,human
1,8,1753188050.747342,human
0,13,1753188050.809564,human
1,10,1753188050.8992589,human
0,8,1753188050.9349604,human
1,12,1753188051.0272152,human
0,10,1753188051.0785031,human
1,21,1753188051.1470742,human
0,12,1753188051.157478,human
1,11,1753188051.266042,human
0,21,1753188051.291983,human
1,22,1753188051.3511505,human
0,11,1753188051.3791647,human
1,7,1753188051.4198143,human
1,24,1753188051.5036178,human
0,22,1753188051.514491,human
0,7,1753188051.56717,human
0,24,1753188051.636311,human
1,28,1753188051.662498,human
1,12,1753188051.757298,human
0,28,1753188051.8010535,human
1,26,1753188051.8529437,human
0,12,1753188051.9221048,human
1,27,1753188052.0094934,human
0,26,1753188052.0132089,human
1,22,1753188052.079129,human
0,27,1753188052.1400917,human
1,7,1753188052.1598024,human
0,22,1753188052.2173195,human
1,23,1753188052.292694,human
0,7,1753188052.3276944,human
1,25,1753188052.3885112,human
0,23,1753188052.4303331,human
0,25,1753188052.5170789,human
1,22,1753188052.5259614,human
1,14,1753188052.622074,human
0,22,1753188052.683751,human
1,12,1753188052.7436535,human
0,14,1753188052.7783237,human
1,27,1753188052.8838072,human
0,12,1753188052.9433289,human
0,27,1753188052.9848256,human
1,27,1753188053.0253055,human
1,22,1753188053.04707,human
0,27,1753188053.1214826,human
1,7,1753188053.130485,human
0,22,1753188053.1941578,human
0,7,1753188053.2902248,human
1,8,1753188053.3034658,human
1,7,1753188053.4039257,human
0,8,1753188053.447485,human
1,26,1753188053.5505233,human
0,7,1753188053.5660603,human
1,10,1753188053.6829753,human
0,26,1753188053.701368,human
1,12,1753188053.7845645,human
0,10,1753188053.8392808,human
1,19,1753188053.9174817,human
0,12,1753188053.9397926,human
0,19,1753188054.06774,human
1,8,1753188054.0848212,human
0,8,1753188054.2222884,human
1,3,1753188054.425325,human
1,27,1753188054.4804962,human
0,3,1753188054.5489712,human
1,8,1753188054.562538,human
0,27,1753188054.6187246,human
0,8,1753188054.7275145,human
1,7,1753188055.4427466,human
1,6,1753188055.566188,human
0,7,1753188055.5752847,human
1,2,1753188055.6810565,human
0,6,1753188055.713509,human
0,13,1753188055.7595975,human
1,25,1753188056.1011844,human
0,25,1753188056.2539728,human
1,3,1753188056.4039428,human
0,3,1753188056.491742,human
1,3,1753188056.546522,human
0,3,1753188056.6655188,human
1,13,1753188056.669443,human
0,13,1753188056.7801466,human
1,25,1753188056.8328445,human
1,12,1753188056.911728,human
0,25,1753188056.9710958,human
0,12,1753188057.0026877,human
1,24,1753188057.0828886,human
0,24,1753188057.20457,human
1,28,1753188057.2325666,human
0,28,1753188057.384066,human
1,12,1753188057.472584,human
1,21,1753188057.5543568,human
0,12,1753188057.6057265,human
1,27,1753188057.6917365,human
0,21,1753188057.6938088,human
1,22,1753188057.780278,human
0,27,1753188057.8059237,human
1,7,1753188057.8436122,human
0,22,1753188057.9085276,human
1,19,1753188057.983964,human
0,7,1753188058.0123148,human
1,8,1753188058.071154,human
0,19,1753188058.1277514,human
1,7,1753188058.1906152,human
0,8,1753188058.2098958,human
1,27,1753188058.3155646,human
0,7,1753188058.3465147,human
0,27,1753188058.4154754,human
1,25,1753188058.4742055,human
1,16,1753188058.549677,human
0,25,1753188058.60473,human
1,21,1753188058.6547568,human
1,12,1753188058.6870065,human
0,16,1753188058.7251844,human
0,21,1753188058.801895,human
0,12,1753188058.806738,human
1,21,1753188058.940133,human
0,21,1753188059.019783,human
1,3,1753188059.1339943,human
0,3,1753188059.2407317,human
1,3,1753188059.2878647,human
0,3,1753188059.3925169,human
1,3,1753188059.4257529,human
1,12,1753188059.4993346,human
0,3,1753188059.535401,human
0,12,1753188059.6183524,human
1,21,1753188059.6307297,human
0,21,1753188059.7271287,human
1,21,1753188059.7783191,human
1,8,1753188059.8562913,human
0,21,1753188059.8575726,human
0,8,1753188059.9714344,human
1,19,1753188060.0005565,human
0,19,1753188060.1508985,human
1,12,1753188060.1699555,human
1,7,1753188060.2679152,human
0,12,1753188060.277513,human
1,16,1753188060.3774164,human
0,7,1753188060.4080882,human
1,21,1753188060.4963057,human
0,16,1753188060.5469298,human
1,7,1753188060.5770943,human
0,21,1753188060.641296,human
1,16,1753188060.6916275,human
0,7,1753188060.7247508,human
1,21,1753188060.787103,human
0,16,1753188060.838009,human
1,13,1753188060.887879,human
0,21,1753188060.9163342,human
0,13,1753188060.99126,human
1,22,1753188061.0062444,human
1,25,1753188061.0705974,human
0,22,1753188061.115795,human
0,25,1753188061.1710434,human
1,20,1753188061.1744971,human
1,8,1753188061.234794,human
0,20,1753188061.2992392,human
1,27,1753188061.372001,human
0,8,1753188061.378982,human
1,16,1753188061.4277067,human
0,27,1753188061.4590223,human
0,16,1753188061.550591,human
1,8,1753188061.6556418,human
0,8,1753188061.8011885,human
1,3,1753188061.9243069,human
1,10,1753188061.9630165,human
1,8,1753188062.0066252,human
0,3,1753188062.0343115,human
0,10,1753188062.0855844,human
0,8,1753188062.1417975,human
1,7,1753188062.2972243,human
1,12,1753188062.3658335,human
0,7,1753188062.4209287,human
0,12,1753188062.4690237,human
1,7,1753188062.483107,human
0,7,1753188062.608151,human
1,26,1753188062.6866565,human
0,26,1753188062.8060796,human
1,22,1753188062.9157484,human
1,21,1753188063.063456,human
0,22,1753188063.107679,human
1,22,1753188063.1859937,human
1,7,1753188063.2029564,human
0,21,1753188063.2357657,human
0,22,1753188063.3362532,human
1,20,1753188063.3543508,human
0,7,1753188063.3863463,human
1,22,1753188063.4139438,human
0,20,1753188063.489118,human
0,22,1753188063.5397298,human
1,19,1753188063.5934284,human
1,27,1753188063.70311,human
0,19,1753188063.7276196,human
1,22,1753188063.7965696,human
0,27,1753188063.7976604,human
1,7,1753188063.8634644,human
0,22,1753188063.9365878,human
1,10,1753188063.94621,human
0,7,1753188063.988318,human
1,22,1753188063.9959562,human
0,10,1753188064.0557246,human
1,21,1753188064.078312,human
0,22,1753188064.1476283,human
1,27,1753188064.1744754,human
0,21,1753188064.2291198,human
1,12,1753188064.2624905,human
0,27,1753188064.289038,human
1,21,1753188064.352749,human
0,12,1753188064.3919053,human
1,27,1753188064.458085,human
0,21,1753188064.491366,human
1,22,1753188064.521745,human
0,27,1753188064.5639312,human
1,7,1753188064.6135955,human
0,22,1753188064.6550336,human
1,23,1753188064.7325094,human
0,7,1753188064.7617657,human
1,12,1753188064.8238766,human
0,23,1753188064.8802717,human
1,25,1753188064.8878195,human
0,12,1753188064.9665456,human
0,25,1753188064.9990106,human
1,10,1753188065.1114202,human
1,15,1753188065.1445825,human
0,10,1753188065.1710658,human
0,15,1753188065.274102,human
1,6,1753188065.3375027,human
1,34,1753188065.419679,human
0,34,1753188065.5814722,human
1,7,1753188065.5907495,human
0,6,1753188065.612519,human
0,7,1753188065.7136202,human
1,20,1753188065.721811,human
1,16,1753188065.8289857,human
0,20,1753188065.9188554,human
1,7,1753188065.9227817,human
0,16,1753188065.988215,human
0,7,1753188066.0927565,human
1,23,1753188066.3860338,human
1,16,1753188066.486713,human
0,23,1753188066.537582,human
1,8,1753188066.5826294,human
0,16,1753188066.6377573,human
1,10,1753188066.715701,human
0,8,1753188066.7445557,human
1,12,1753188066.8342257,human
0,10,1753188066.8808148,human
1,25,1753188066.9786189,human
0,12,1753188067.0132866,human
0,25,1753188067.1006432,human
1,7,1753188067.133882,human
0,7,1753188067.2766707,human
1,23,1753188067.3080935,human
0,23,1753188067.4339166,human
1,3,1753188067.5436828,human
0,3,1753188067.6477177,human
1,3,1753188067.696745,human
0,3,1753188067.81184,human
1,3,1753188067.8506868,human
1,7,1753188067.9142876,human
0,3,1753188067.9828813,human
1,23,1753188068.0731604,human
0,7,1753188068.0890825,human
1,25,1753188068.2076268,human
0,23,1753188068.2115805,human
1,22,1753188068.2837038,human
0,25,1753188068.3170817,human
1,14,1753188068.3800445,human
0,22,1753188068.4494495,human
0,14,1753188068.476523,human
1,25,1753188068.5486004,human
1,8,1753188068.6249883,human
0,25,1753188068.6675282,human
1,20,1753188068.7132497,human
0,8,1753188068.739925,human
0,20,1753188068.8236935,human
1,20,1753188068.8656876,human
1,8,1753188068.9075186,human
0,20,1753188068.9950626,human
0,8,1753188069.0315633,human
1,25,1753188069.0403707,human
1,12,1753188069.1407676,human
0,25,1753188069.1884286,human
1,7,1753188069.250032,human
0,12,1753188069.2886517,human
0,7,1753188069.3694618,human
1,12,1753188069.4142485,human
1,7,1753188069.5200448,human
0,12,1753188069.5425336,human
0,7,1753188069.6799345,human
1,23,1753188069.825758,human
0,23,1753188069.9081688,human
1,12,1753188070.1608484,human
1,21,1753188070.2461278,human
0,12,1753188070.2607927,human
1,26,1753188070.360509,human
0,21,1753188070.3741488,human
1,8,1753188070.4334707,human
0,26,1753188070.4988198,human
1,25,1753188070.576747,human
0,8,1753188070.5804403,human
1,12,1753188070.645939,human
0,25,1753188070.7104874,human
1,7,1753188070.758817,human
0,12,1753188070.7859056,human
1,8,1753188070.8497844,human
0,7,1753188070.8744318,human
1,7,1753188070.9688704,human
0,8,1753188070.9970503,human
0,7,1753188071.1256049,human
1,24,1753188071.1283643,human
0,24,1753188071.241207,human
1,3,1753188071.571462,human
0,3,1753188071.7178252,human
1,23,1753188072.242786,human
0,23,1753188072.39969,human
1,25,1753188072.421199,human
1,22,1753188072.4633982,human
0,25,1753188072.4787931,human
0,22,1753188072.5999022,human
1,14,1753188072.717695,human
1,12,1753188072.8278866,human
0,14,1753188072.850873,human
1,27,1753188072.9608655,human
0,12,1753188073.015535,human
0,27,1753188073.0548365,human
1,27,1753188073.0982137,human
1,16,1753188073.1535158,human
0,27,1753188073.2078593,human
1,7,1753188073.2584212,human
0,16,1753188073.3133397,human
1,13,1753188073.3318884,human
0,7,1753188073.4277067,human
0,13,1753188073.4616442,human
1,28,1753188073.481446,human
1,27,1753188073.585825,human
0,28,1753188073.629835,human
0,27,1753188073.6934185,human
1,28,1753188073.7049024,human
1,25,1753188073.7735577,human
0,28,1753188073.7828176,human
1,16,1753188073.9014025,human
0,25,1753188073.907253,human
1,7,1753188074.006834,human
0,16,1753188074.058525,human
1,27,1753188074.125947,human
0,7,1753188074.154895,human
0,27,1753188074.240627,human
1,16,1753188074.4418254,human
0,16,1753188074.5776255,human
1,3,1753188074.7492335,human
0,3,1753188074.8594682,human
1,3,1753188074.9015224,human
1,10,1753188075.0022182,human
0,3,1753188075.020939,human
1,22,1753188075.090189,human
0,10,1753188075.1054666,human
1,20,1753188075.1991508,human
1,12,1753188075.2405756,human
0,22,1753188075.265252,human
0,20,1753188075.3183985,human
0,12,1753188075.3745534,human
1,7,1753188075.4031427,human
1,16,1753188075.482644,human
0,7,1753188075.532877,human
1,19,1753188075.585425,human
0,16,1753188075.662091,human
1,7,1753188075.6632185,human
0,19,1753188075.732261,human
1,20,1753188075.774403,human
0,7,1753188075.7752514,human
1,8,1753188075.883158,human
0,20,1753188075.9085088,human
1,10,1753188075.9657466,human
0,8,1753188076.0021317,human
1,15,1753188076.0295177,human
0,10,1753188076.0719645,human
1,16,1753188076.1122122,human
