event_code,key_code,timestamp,label
1,17,1753192882.931234,human
1,13,1753192889.2312016,human
0,17,1753192889.3660803,human
0,34,1753192889.378961,human
1,38,1753192889.439039,human
1,34,1753192889.54503,human
0,38,1753192889.604363,human
1,48,1753192889.67717,human
0,34,1753192889.6862512,human
1,34,1753192889.7591314,human
0,48,1753192889.8120823,human
0,34,1753192889.864687,human
1,26,1753192889.8809204,human
1,36,1753192889.9617648,human
0,26,1753192890.0304449,human
1,37,1753192890.0761998,human
0,36,1753192890.1129117,human
1,30,1753192890.1674318,human
0,37,1753192890.191492,human
1,38,1753192890.2635784,human
0,30,1753192890.2872958,human
1,44,1753192890.3778756,human
0,38,1753192890.3869717,human
1,30,1753192890.428048,human
1,18,1753192890.5103629,human
0,44,1753192890.5137222,human
0,30,1753192890.597581,human
1,40,1753192890.6747017,human
0,18,1753192890.6837516,human
1,42,1753192890.8623765,human
0,40,1753192890.8814044,human
1,39,1753192890.944634,human
0,42,1753192890.9767704,human
1,40,1753192891.0452533,human
0,39,1753192891.1050775,human
1,39,1753192891.169703,human
0,40,1753192891.2290163,human
1,43,1753192891.311044,human
0,39,1753192891.320537,human
0,43,1753192891.3974164,human
1,44,1753192891.4384823,human
1,26,1753192891.5070286,human
0,44,1753192891.5553317,human
1,18,1753192891.589431,human
0,26,1753192891.6233733,human
1,29,1753192891.708312,human
0,18,1753192891.7343092,human
1,36,1753192891.8363788,human
0,29,1753192891.8422637,human
0,36,1753192891.9324849,human
1,26,1753192891.9878714,human
1,36,1753192891.996946,human
0,36,1753192892.0938056,human
0,26,1753192892.1157844,human
1,15,1753192892.8770125,human
0,15,1753192892.9420755,human
1,15,1753192893.0071056,human
0,15,1753192893.1042173,human
1,15,1753192893.1537652,human
0,15,1753192893.2628546,human
1,26,1753192893.2763054,human
1,36,1753192893.358789,human
0,26,1753192893.3783,human
0,36,1753192893.450819,human
1,36,1753192893.5000055,human
0,36,1753192893.6105444,human
1,26,1753192893.6350322,human
0,26,1753192893.7953172,human
1,18,1753192893.8530316,human
0,18,1753192893.985919,human
1,43,1753192894.0181718,human
1,34,1753192894.1050544,human
0,43,1753192894.1649983,human
0,34,1753192894.2524986,human
1,32,1753192894.280277,human
1,38,1753192894.3721137,human
0,32,1753192894.4038875,human
1,39,1753192894.4872468,human
0,38,1753192894.5316002,human
1,42,1753192894.590942,human
0,39,1753192894.6319616,human
1,26,1753192894.6556292,human
0,42,1753192894.7190711,human
1,18,1753192894.7255423,human
0,26,1753192894.7510216,human
1,17,1753192894.801082,human
0,18,1753192894.857201,human
1,14,1753192894.915252,human
0,17,1753192895.022652,human
0,35,1753192895.0580115,human
1,45,1753192895.1311605,human
0,45,1753192895.2315989,human
1,36,1753192895.3113434,human
1,34,1753192895.4256432,human
0,36,1753192895.4810224,human
1,26,1753192895.539884,human
0,34,1753192895.5626864,human
1,18,1753192895.6314244,human
0,26,1753192895.6399353,human
1,17,1753192895.7094529,human
0,18,1753192895.7754052,human
1,25,1753192895.8413951,human
0,17,1753192895.9054594,human
0,47,1753192895.984025,human
1,26,1753192896.056311,human
0,26,1753192896.1943462,human
1,42,1753192896.2069993,human
0,42,1753192896.3037467,human
1,29,1753192896.3636427,human
1,18,1753192896.4553502,human
0,29,1753192896.468918,human
1,17,1753192896.5192225,human
0,18,1753192896.5701072,human
1,12,1753192896.647416,human
0,17,1753192896.6807342,human
0,33,1753192896.80541,human
1,39,1753192896.8160596,human
1,47,1753192896.9260015,human
0,39,1753192896.9584804,human
0,47,1753192897.0588045,human
1,30,1753192897.1472497,human
0,30,1753192897.3257062,human
1,42,1753192897.3634636,human
0,42,1753192897.4478087,human
1,15,1753192897.7100413,human
0,15,1753192897.794767,human
1,1,1753192897.9574354,human
1,18,1753192898.0898073,human
0,1,1753192898.1269643,human
0,18,1753192898.21778,human
1,38,1753192898.4104135,human
0,38,1753192898.5339026,human
1,30,1753192898.5428598,human
1,36,1753192898.6297612,human
0,30,1753192898.6618953,human
1,18,1753192898.7075737,human
0,36,1753192898.7671216,human
0,18,1753192898.8554044,human
1,4,1753192898.9684987,human
0,4,1753192899.1066406,human
1,8,1753192899.1532912,human
0,8,1753192899.2914476,human
1,7,1753192899.499635,human
0,7,1753192899.6188664,human
1,5,1753192899.6478336,human
0,5,1753192899.8173518,human
1,1,1753192900.1977787,human
1,18,1753192900.2948828,human
0,1,1753192900.366538,human
0,18,1753192900.4307854,human
1,32,1753192900.4791193,human
0,32,1753192900.607353,human
1,42,1753192900.677039,human
1,26,1753192900.765844,human
0,42,1753192900.8100178,human
0,26,1753192900.8884995,human
1,48,1753192900.9846013,human
0,48,1753192901.1265495,human
1,34,1753192901.300554,human
0,34,1753192901.460148,human
1,30,1753192901.4633808,human
0,30,1753192901.564581,human
1,18,1753192901.581955,human
0,18,1753192901.718112,human
1,26,1753192901.7460992,human
1,36,1753192901.8316045,human
0,26,1753192901.8751204,human
0,36,1753192901.9441805,human
1,36,1753192901.9758103,human
0,36,1753192902.0738883,human
1,30,1753192902.0807648,human
1,18,1753192902.2040255,human
0,30,1753192902.213362,human
1,40,1753192902.281943,human
0,18,1753192902.331926,human
1,30,1753192902.4055867,human
0,40,1753192902.4340196,human
0,30,1753192902.479906,human
1,44,1753192902.5130718,human
0,44,1753192902.613974,human
1,34,1753192902.6177373,human
0,34,1753192902.7323658,human
1,48,1753192902.82981,human
1,34,1753192902.8754582,human
0,48,1753192902.93084,human
1,39,1753192902.9449718,human
0,34,1753192902.999061,human
0,39,1753192903.077505,human
1,38,1753192903.113251,human
1,34,1753192903.1824088,human
0,38,1753192903.2549407,human
1,18,1753192903.2680273,human
0,34,1753192903.3228984,human
1,29,1753192903.3458068,human
0,18,1753192903.3822172,human
1,34,1753192903.437011,human
0,29,1753192903.4610353,human
1,18,1753192903.4965732,human
1,17,1753192903.5488648,human
0,13,1753192903.5503027,human
0,18,1753192903.6087425,human
1,10,1753192903.647794,human
0,17,1753192903.6933837,human
0,26,1753192903.7869244,human
1,38,1753192903.9394822,human
1,26,1753192904.0489273,human
0,38,1753192904.0951974,human
0,26,1753192904.1831431,human
1,18,1753192904.2241757,human
0,18,1753192904.3315942,human
1,17,1753192904.346494,human
1,14,1753192904.456208,human
0,17,1753192904.5342848,human
0,35,1753192904.6029558,human
1,26,1753192904.6296475,human
1,42,1753192904.762215,human
0,26,1753192904.770907,human
0,42,1753192904.8473132,human
1,46,1753192904.9693322,human
1,34,1753192905.0562751,human
0,46,1753192905.094909,human
0,34,1753192905.2163043,human
1,43,1753192905.2194526,human
1,18,1753192905.3023748,human
0,43,1753192905.3413925,human
0,18,1753192905.4263625,human
1,29,1753192905.4311268,human
1,34,1753192905.4905512,human
0,29,1753192905.5309875,human
1,18,1753192905.553786,human
0,34,1753192905.604704,human
1,17,1753192905.654533,human
0,18,1753192905.6921632,human
1,21,1753192905.754768,human
0,17,1753192905.8191037,human
0,40,1753192905.870311,human
1,33,1753192906.5838273,human
1,34,1753192906.698984,human
0,33,1753192906.752561,human
0,34,1753192906.8370206,human
1,36,1753192907.1149657,human
0,36,1753192907.2888565,human
1,26,1753192907.3103108,human
0,26,1753192907.4478214,human
1,29,1753192907.7330418,human
1,30,1753192907.8480327,human
0,29,1753192907.9428391,human
1,36,1753192908.0015132,human
0,30,1753192908.002641,human
0,36,1753192908.162049,human
1,40,1753192909.0070536,human
0,40,1753192909.1271968,human
1,33,1753192909.2054749,human
1,34,1753192909.3045895,human
0,33,1753192909.3589594,human
1,26,1753192909.43295,human
0,34,1753192909.4471693,human
0,26,1753192909.562541,human
1,2,1753192909.633406,human
0,2,1753192909.763856,human
1,17,1753192909.816236,human
1,18,1753192909.82045,human
0,18,1753192909.9352343,human
1,10,1753192910.059237,human
0,10,1753192910.237305,human
0,17,1753192910.2766078,human
1,38,1753192910.4578888,human
1,26,1753192910.5583482,human
0,38,1753192910.582888,human
1,18,1753192910.7010295,human
0,26,1753192910.7028885,human
1,17,1753192910.8049972,human
0,18,1753192910.8210168,human
1,14,1753192910.8697672,human
0,17,1753192910.965149,human
0,35,1753192911.0201795,human
1,26,1753192911.04807,human
0,26,1753192911.1863651,human
1,42,1753192911.4048047,human
0,42,1753192911.5275855,human
1,46,1753192911.6203034,human
1,34,1753192911.7258403,human
0,46,1753192911.7411308,human
1,43,1753192911.8407805,human
0,34,1753192911.854144,human
0,43,1753192911.9454184,human
1,1,1753192911.959477,human
1,18,1753192912.055246,human
0,1,1753192912.1145072,human
0,18,1753192912.1836123,human
1,34,1753192912.1922672,human
1,38,1753192912.266224,human
0,34,1753192912.3302474,human
0,38,1753192912.426715,human
1,31,1753192912.4294548,human
1,26,1753192912.4895062,human
0,31,1753192912.544623,human
0,26,1753192912.6335166,human
1,44,1753192912.6482947,human
0,44,1753192912.7361286,human
1,44,1753192912.7755077,human
1,34,1753192912.8120637,human
0,44,1753192912.8808353,human
0,34,1753192912.9213424,human
1,1,1753192912.998916,human
1,18,1753192913.1220365,human
0,1,1753192913.1975718,human
0,18,1753192913.2373955,human
1,38,1753192913.2967052,human
0,38,1753192913.405721,human
1,30,1753192913.4090872,human
1,36,1753192913.4966493,human
0,30,1753192913.534573,human
1,18,1753192913.5374727,human
0,36,1753192913.6227057,human
0,18,1753192913.7029774,human
1,4,1753192913.8548927,human
1,3,1753192913.9600625,human
0,4,1753192914.0422366,human
0,3,1753192914.105302,human
1,15,1753192914.4152749,human
0,15,1753192914.5384526,human
1,9,1753192914.66455,human
1,3,1753192914.806757,human
0,9,1753192914.82234,human
0,3,1753192914.951396,human
1,7,1753192915.113315,human
0,7,1753192915.2319613,human
1,1,1753192915.7331553,human
1,18,1753192915.8559597,human
0,1,1753192915.9206295,human
0,18,1753192916.0015528,human
1,29,1753192916.2815862,human
1,30,1753192916.3588076,human
0,29,1753192916.441491,human
0,30,1753192916.4656188,human
1,43,1753192916.5374568,human
1,34,1753192916.6247694,human
0,43,1753192916.665466,human
1,29,1753192916.7430928,human
0,34,1753192916.748016,human
1,30,1753192916.9168994,human
0,29,1753192916.9352057,human
1,42,1753192917.0610228,human
0,30,1753192917.1006174,human
1,39,1753192917.1696107,human
0,42,1753192917.1837857,human
1,42,1753192917.29783,human
0,39,1753192917.3379023,human
0,42,1753192917.351228,human
1,15,1753192917.647204,human
1,43,1753192917.757638,human
0,15,1753192917.772808,human
1,26,1753192917.8256054,human
0,43,1753192917.903408,human
1,18,1753192917.9950404,human
0,26,1753192918.0019743,human
0,18,1753192918.1204128,human
1,29,1753192918.1401412,human
0,29,1753192918.2130227,human
1,34,1753192918.566905,human
1,18,1753192918.6809354,human
0,34,1753192918.7408285,human
1,42,1753192918.8281016,human
0,18,1753192918.8370771,human
1,34,1753192918.9227598,human
0,42,1753192918.9458332,human
0,34,1753192919.046346,human
1,28,1753192919.1165636,human
1,39,1753192919.209627,human
0,28,1753192919.245279,human
1,42,1753192919.3497128,human
0,39,1753192919.373251,human
0,42,1753192919.4614675,human
1,29,1753192919.51081,human
1,26,1753192919.570057,human
0,29,1753192919.655018,human
0,26,1753192919.6986942,human
1,30,1753192919.7676344,human
1,18,1753192919.8407717,human
0,30,1753192919.902249,human
0,18,1753192919.961754,human
1,36,1753192920.0523643,human
0,36,1753192920.1763012,human
1,36,1753192920.2543526,human
1,0,1753192920.378445,human
0,36,1753192920.391729,human
0,0,1753192920.4924762,human
1,16,1753192920.7095346,human
1,15,1753192920.7267444,human
0,16,1753192920.8047302,human
0,15,1753192920.8181424,human
1,15,1753192920.883917,human
0,15,1753192920.9844148,human
1,15,1753192921.0445552,human
0,15,1753192921.1614475,human
1,15,1753192921.2224307,human
0,15,1753192921.286738,human
1,15,1753192921.3529897,human
0,15,1753192921.5031831,human
1,42,1753192921.727004,human
1,30,1753192921.7859268,human
1,18,1753192921.8315265,human
0,42,1753192921.840512,human
1,36,1753192921.8999946,human
0,30,1753192921.9239182,human
0,18,1753192921.9691875,human
1,0,1753192922.078777,human
0,36,1753192922.112291,human
0,0,1753192922.197403,human
1,26,1753192922.2406108,human
0,26,1753192922.3805702,human
1,38,1753192922.4505396,human
0,38,1753192922.570596,human
1,38,1753192922.5978076,human
1,34,1753192922.716466,human
0,38,1753192922.7308311,human
1,46,1753192922.785326,human
0,34,1753192922.786654,human
0,46,1753192922.8779187,human
1,30,1753192923.0394373,human
0,30,1753192923.1820762,human
1,43,1753192923.3321707,human
1,26,1753192923.415017,human
0,43,1753192923.479355,human
1,42,1753192923.5428138,human
0,26,1753192923.5887654,human
0,42,1753192923.6577797,human
1,34,1753192923.673767,human
1,39,1753192923.7106082,human
0,39,1753192923.8449118,human
1,18,1753192923.8704827,human
0,34,1753192923.875502,human
1,29,1753192923.9849515,human
0,18,1753192924.0140004,human
1,30,1753192924.0256047,human
0,29,1753192924.103966,human
1,36,1753192924.1265965,human
0,30,1753192924.1772785,human
0,36,1753192924.2133293,human
1,36,1753192924.2640448,human
1,26,1753192924.332195,human
0,36,1753192924.374354,human
0,26,1753192924.453037,human
1,18,1753192924.508993,human
1,37,1753192924.5530562,human
0,18,1753192924.628402,human
0,37,1753192924.722796,human
1,39,1753192924.7590451,human
1,42,1753192924.8458414,human
0,39,1753192924.9061427,human
0,42,1753192924.9698236,human
1,44,1753192925.0808618,human
1,30,1753192925.2138026,human
0,44,1753192925.2273936,human
0,30,1753192925.3422112,human
1,18,1753192925.3577104,human
0,18,1753192925.4908073,human
1,29,1753192925.5145645,human
1,34,1753192925.602319,human
0,29,1753192925.638551,human
1,18,1753192925.693163,human
0,34,1753192925.7433455,human
0,18,1753192925.8028111,human
1,43,1753192925.8262608,human
1,45,1753192925.905624,human
0,43,1753192925.9310534,human
1,26,1753192926.024336,human
0,45,1753192926.025412,human
1,18,1753192926.109404,human
0,26,1753192926.156302,human
1,37,1753192926.1965945,human
0,18,1753192926.2657752,human
1,26,1753192926.3115537,human
0,37,1753192926.342982,human
